title,challenge,difficulty
"was sind die Odds,",dass du jetzt deine Mama anrufst?,10
"was sind die Odds,","dass du jetzt eine Person anrufst, die Y auswählt?",15
"was sind die Odds,",dass du morgen alles von der Party aufräumst?,10
"was sind die Odds,",dass du eine Story mit einem deiner 5 letzten Fotos postest?,15
"was sind die Odds,","dass du jetzt einen Witz erzählst, der mindestens eine Person zum Lachen bringt?",5
"was sind die Odds,","dass du so tust, als wärst du eine Ratte für 10 Sekunden?",15
"was sind die Odds,",dass du Macarena zum nächsten Song in der Playlist tanzt?,10
"was sind die Odds,",dass du Y dein Handy 30 Sekunden gibst?,20
"was sind die Odds,",dass du die gemeinste Person im Raum benennst?,10
"was sind die Odds,","dass du aus einem Glas trinkst, ohne die Hände zu benutzen?",5
"was sind die Odds,",dass du dich jetzt von Y schminken lässt?,5
"was sind die Odds,",dass du jetzt 10 Liegestützen machst?,10
"was sind die Odds,",dass du für 15 Minuten zu allem Ja sagst (Die anderen bleiben fair!),15
"was sind die Odds,",dass du zu den Nachbarn gehst und nach einem Apfel fragst?,10
"was sind die Odds,",dass du dir mit Permanentmarker Cyberz auf den Arm schreiben lässt?,10
"was sind die Odds,","dass du alles, was du die nächsten 10 Minuten sagst, reimst?",10
"was sind die Odds,","dass du jeden Satz für die nächsten 30 Minuten mit ""Ach du heiliger Bimbam"" beendest?",5
"was sind die Odds,",dass dich jeder für die nächsten 30 Minuten nur noch mit Macher anspricht?,5
"was sind die Odds,",dass du dich heute Abend bei jeder Person als Sergej Fährlich/Anna Bolika vorstellst?,5
"was sind die Odds,",dass du dir die Augen verbinden lässt & dir Y etwas Essbares zu Essen gibt?,10
"was sind die Odds,","dass du heute zu einer fremden Person gehst & sie fragst, du an ihr riechen darfst?",10
"was sind die Odds,",dass du die Attraktivität aller Mitspieler auf einer Skala von 1-10 bewertest,10
"was sind die Odds,","dass du sagst, an welches Tier dich Y am meisten erinnert?",5
"was sind die Odds,","dass du eine Person auf der Straße fragst, ob sie deine Schildkröte gesehen hat?",10
"was sind die Odds,",dass Y ein neues Profilbild (Whatsapp & Instagram) für eine Woche für dich aussuchen darf?,15
"was sind die Odds,",dass du auf die Straße gehst und einen Regentanz aufführst?,10
"was sind die Odds,","dass du für 15 Minuten jedes Mal bevor du was sagen willst, aufzeigst und Y dir die Erlaubnis geben muss zu reden?",10
"was sind die Odds,",dass du innerhalb von 5 Minuten einen Rap über Lurche schreibst?,10
"was sind die Odds,","dass du ein Gesicht auf deine Hand malst und damit sagst, was du sagen willst.",5
"was sind die Odds,",dass dich jeder für die nächsten 30 Minuten nur noch altertümlich redest?,5
"was sind die Odds,",dass du nur noch mit deiner linken/rechten Hand trinkst?,5
"was sind die Odds,","dass du jedes Mal, bevor du etwas trinken möchtest, sagst ""Platz da, hier kommt der Landvogt!""?",5
"was sind die Odds,",dass du jetzt ein Portät von Y zeichnest?,10
"was sind die Odds,","dass du jetzt beim Zoo anrufst und fragst, ob sie italienische Bergsee-Enten haben?",10
"was sind die Odds,","dass du für die nächsten 5 Runden, Personen nur noch mit dem Nachnamen ansprichst?",10
"was sind die Odds,",dass du zu den Nachbarn gehst und Klopapier fragst?,15
"was sind die Odds,","dass du einem Promi, den Y nennt, per DM fragst, was sein Erfolgsgehemnis ist?",10
"was sind die Odds,",dass du deine letzte Whatsapp Nachricht laut vorliest?,5
"was sind die Odds,",dass du das letzte Foto auf deinem Handy allen zeigst?,5
"was sind die Odds,","dass du einer Person, die Y aussucht, ein Foto von deinen Füßen schickst?",15
"was sind die Odds,",dass du an der Achsel von Y riechst?,5
"was sind die Odds,","dass du dich heute Abend für eine bestimmte berühmte Person, die Y aussucht, ausgibst?",10
"was sind die Odds,",dass du dich für 30 Minuten nur mit Zeichensprache verständigst?,10
"was sind die Odds,",dass dir Y dir ein Outfit für den Abend zusammenstellt?,15
"was sind die Odds,","dass du für 30 Minuten jeden Satz mut ""Im Grunde genommen"" beginnst?",5
"was sind die Odds,","dass du in jedem Satz für 30 Minuten ein Wort unterbringen musst, das Y vorgibt?",5
"was sind die Odds,","dass du allen erzählst, wann du das letzte Mal gelogen hast?",10
"was sind die Odds,","dass du dein Sternzeichen pantomimisch nachmachst, bis die anderen es erraten?",10
"was sind die Odds,","dass du aus dem Fenster laut schreist ""Can i get a hayaaaa""?",10
"was sind die Odds,",dass du dich für 3 Minuten auf den Boden legst?,5
"was sind die Odds,","dass du eine Person , die Y aussucht, anrufst und dich als Poolnudel Vertreter ausgibst?",10
"was sind die Odds,",dass du versuchst jeden Mitspieler nur am Geruch zu erkennen?,5
"was sind die Odds,",dass du ohne Kontext ein Foto von einem hässlichen Tier in deine Story postest?,10
"was sind die Odds,",dass du mit allen Personen ein kurzes Workout mit passende Musik machst?,15
"was sind die Odds,",dass du einen Kopfstand machst?,10
"was sind die Odds,",dass du heute ne Runde Döner für deine Mitspieler*innen sponst?,10
"was sind die Odds,","dass du sobald jemand aus der Runde aufsteht, an seinem Sitzplatz schnupperst?",5
"was sind die Odds,",dass du uns auf Mr. und Mrs. Geizhals aufmerksam machst?,5
"was sind die Odds,",dass du eine KI nach einem Anmachspruch fragst und ihn direkt bei einer fremden Person ausprobierst?,10
"was sind die Odds,",dass du dir ein Stück Haar abschneidest?,15
"was sind die Odds,",dass du eine Woche lang dein Handy nicht benutzt?,20
"was sind die Odds,","dass du einen Fremden davon überzeugen kannst, dir 50 Euro zu geben?",10
"was sind die Odds,",dass X vom Barkeeper ein Gratisgetränk bekommt?,5
"was sind die Odds,","dass du 10 Sekunden lang so tust, als wärst du ein Fisch?",5
"was sind die Odds,",dass du Macarena zu einem anderen Lied tanzt?,10
"was sind die Odds,",dass du drei Eigenschaften von X erzählst?,5
"was sind die Odds,",dass du deinem Chef eine Nachricht schreibst?,15
"was sind die Odds,",dass du eine Instagram-Story nur mit einem random Smiley postest?,5
"was sind die Odds,","dass du in deine Story postest: ""Hab jetzt ein Business! Schreib mir, wenn du reich werden willst!""",10
"was sind die Odds,","dass du zu einem Song, den die Gruppe aussucht, tanzt?",10
"was sind die Odds,","dass du uns gestehst, wer in der Runde Mundgerucht hat?",5
"was sind die Odds,",dass du den größten Heuchler aufzeigst?,5
"was sind die Odds,","dass du etwas beichtest, das niemand hier weiß?",5
"was sind die Odds,",dass du den Hässlichsten aber Nettesten der Runde ernennst?,5
"was sind die Odds,",dass du einen Moonwalk machst?,5
